--------- beginning of main
05-13 10:51:46.992 I/ReactNativeJS( 5250): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
05-13 10:51:47.269 I/ReactNativeJS( 5250): '[analytics]', 'sync_started', { trigger: 'cold_start' }
05-13 10:51:47.271 I/ReactNativeJS( 5250): '[analytics]', 'health_platform_read_skipped', { trigger: 'foreground', reason: 'no_user' }
05-13 10:51:49.888 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=cd 84 fa 69 listeners=1
05-13 10:51:49.889 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=cd bf f9 69 listeners=1
05-13 10:51:49.890 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=62 7c f9 69 listeners=1
05-13 10:51:49.891 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=4f 33 f9 69 listeners=1
05-13 10:51:49.892 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e3 a1 f8 69 listeners=1
05-13 10:51:49.892 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=95 a1 f8 69 listeners=1
05-13 10:51:49.904 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d3 fe f7 69 listeners=1
05-13 10:51:49.931 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=26 db f7 69 listeners=1
05-13 10:51:49.933 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=87 11 f7 69 listeners=1
05-13 10:51:49.935 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=41 11 f7 69 listeners=1
05-13 10:51:49.935 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=02 c7 f6 69 listeners=1
05-13 10:51:49.936 I/ReactNativeJS( 5250): [ble-trace] syncBacklog readBPHistory returned 50 packet(s); first.ts=1778637367 last.ts=1777780482
05-13 10:51:49.936 I/ReactNativeJS( 5250): [ble-trace] syncBacklog exit pulled=0 (filtered from 50); cursor 1778637367 → 1778637367
05-13 10:51:49.939 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan enter anchorTs=1777780482 (DIR=1 walk-backward)
05-13 10:51:50.035 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=b9 c6 f6 69 listeners=1
05-13 10:51:50.035 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ca 90 f6 69 listeners=1
