--------- beginning of main
05-13 10:51:46.992 I/ReactNativeJS( 5250): Running "main" with {"rootTag":1,"initialProps":{},"fabric":true}
05-13 10:51:47.269 I/ReactNativeJS( 5250): '[analytics]', 'sync_started', { trigger: 'cold_start' }
05-13 10:51:47.271 I/ReactNativeJS( 5250): '[analytics]', 'health_platform_read_skipped', { trigger: 'foreground', reason: 'no_user' }
05-13 10:56:51.992 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ec a8 01 6a listeners=1
05-13 10:56:51.993 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=21 61 01 6a listeners=1
05-13 10:56:51.994 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ed 24 01 6a listeners=1
05-13 10:56:51.994 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7e 81 00 6a listeners=1
05-13 10:56:51.994 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ac 7b 00 6a listeners=1
05-13 10:56:51.995 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=55 7b 00 6a listeners=1
05-13 10:56:51.995 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=66 57 00 6a listeners=1
05-13 10:56:51.996 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d9 fe fe 69 listeners=1
05-13 10:56:52.000 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7a 91 fe 69 listeners=1
05-13 10:56:52.001 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=1d 7e fe 69 listeners=1
05-13 10:56:52.051 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=5c 0f fe 69 listeners=1
05-13 10:56:52.051 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=a7 c1 fd 69 listeners=1
05-13 10:56:52.052 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=0a c1 fd 69 listeners=1
05-13 10:56:52.053 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=97 70 fd 69 listeners=1
05-13 10:56:52.053 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ee 65 fc 69 listeners=1
05-13 10:56:52.067 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f3 62 fc 69 listeners=1
05-13 10:56:52.069 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=32 e6 fb 69 listeners=1
05-13 10:56:52.072 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d6 e4 fb 69 listeners=1
05-13 10:56:52.074 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=36 de fb 69 listeners=1
05-13 10:56:52.076 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=57 52 fb 69 listeners=1
05-13 10:56:52.090 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2a 50 fb 69 listeners=1
05-13 10:56:52.091 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7f 4f fb 69 listeners=1
05-13 10:56:52.093 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=17 4c fb 69 listeners=1
05-13 10:56:52.095 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=95 4b fb 69 listeners=1
05-13 10:56:52.096 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=cd 84 fa 69 listeners=1
05-13 10:56:52.098 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=cd bf f9 69 listeners=1
05-13 10:56:52.098 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=62 7c f9 69 listeners=1
05-13 10:56:52.099 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=4f 33 f9 69 listeners=1
05-13 10:56:52.100 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e3 a1 f8 69 listeners=1
05-13 10:56:52.100 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=95 a1 f8 69 listeners=1
05-13 10:56:52.147 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d3 fe f7 69 listeners=1
05-13 10:56:52.147 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=26 db f7 69 listeners=1
05-13 10:56:52.148 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=87 11 f7 69 listeners=1
05-13 10:56:52.148 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=41 11 f7 69 listeners=1
05-13 10:56:52.148 I/ReactNativeJS( 5250): [ble-trace] syncBacklog readBPHistory returned 50 packet(s); first.ts=1778640921 last.ts=1777799489
05-13 10:56:52.149 I/ReactNativeJS( 5250): [ble-trace] syncBacklog exit pulled=0 (filtered from 50); cursor 1778640921 → 1778640921
05-13 10:56:52.149 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan enter anchorTs=1777799489 (DIR=1 walk-backward)
05-13 10:56:52.242 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=02 c7 f6 69 listeners=1
05-13 10:56:52.243 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=b9 c6 f6 69 listeners=1
05-13 10:56:52.245 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ca 90 f6 69 listeners=1
05-13 10:56:52.246 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=33 1a f6 69 listeners=1
05-13 10:56:52.247 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=28 fe f5 69 listeners=1
05-13 10:56:52.248 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e9 f7 f5 69 listeners=1
05-13 10:56:52.249 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2a b4 f5 69 listeners=1
05-13 10:56:52.250 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=0e 75 f5 69 listeners=1
05-13 10:56:52.250 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=3c 45 f5 69 listeners=1
05-13 10:56:52.251 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=10 d0 f4 69 listeners=1
05-13 10:56:52.290 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=17 3e f4 69 listeners=1
05-13 10:56:52.291 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=66 32 f4 69 listeners=1
05-13 10:56:52.291 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=06 32 f4 69 listeners=1
05-13 10:56:52.292 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=17 22 f3 69 listeners=1
05-13 10:56:52.293 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=23 9a f2 69 listeners=1
05-13 10:56:52.294 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=c3 99 f2 69 listeners=1
05-13 10:56:52.295 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=8e 90 f2 69 listeners=1
05-13 10:56:52.297 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=bf e8 f1 69 listeners=1
05-13 10:56:52.299 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=73 db f1 69 listeners=1
05-13 10:56:52.300 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=0f a9 f1 69 listeners=1
05-13 10:56:52.345 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=be 4c f1 69 listeners=1
05-13 10:56:52.347 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=1d 27 f1 69 listeners=1
05-13 10:56:52.348 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e1 26 f1 69 listeners=1
05-13 10:56:52.350 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=73 1a f1 69 listeners=1
05-13 10:56:52.350 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=33 1a f1 69 listeners=1
05-13 10:56:52.356 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f7 19 f1 69 listeners=1
05-13 10:56:52.357 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=db 9c f0 69 listeners=1
05-13 10:56:52.358 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=48 97 f0 69 listeners=1
05-13 10:56:52.359 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=46 77 f0 69 listeners=1
05-13 10:56:52.359 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=fa 60 f0 69 listeners=1
05-13 10:56:52.386 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=21 4a f0 69 listeners=1
05-13 10:56:52.387 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e0 49 f0 69 listeners=1
05-13 10:56:52.388 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e7 12 ee 69 listeners=1
05-13 10:56:52.389 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=56 fc ed 69 listeners=1
05-13 10:56:52.390 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=5b ec ed 69 listeners=1
05-13 10:56:52.391 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=a2 9c ec 69 listeners=1
05-13 10:56:52.391 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=85 84 eb 69 listeners=1
05-13 10:56:52.392 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2e 74 eb 69 listeners=1
05-13 10:56:52.393 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=61 28 eb 69 listeners=1
05-13 10:56:52.395 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f7 e9 ea 69 listeners=1
05-13 10:56:52.447 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=27 e9 ea 69 listeners=1
05-13 10:56:52.449 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=2d e8 ea 69 listeners=1
05-13 10:56:52.450 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=7a e7 ea 69 listeners=1
05-13 10:56:52.450 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=31 e7 ea 69 listeners=1
05-13 10:56:52.451 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ae e6 ea 69 listeners=1
05-13 10:56:52.451 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=26 e6 ea 69 listeners=1
05-13 10:56:52.451 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=34 e5 ea 69 listeners=1
05-13 10:56:52.452 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=e3 e4 ea 69 listeners=1
05-13 10:56:52.452 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=96 e4 ea 69 listeners=1
05-13 10:56:52.452 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f8 e3 ea 69 listeners=1
05-13 10:56:52.453 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan returned 50 packet(s); first.ts=1777780482 last.ts=1777001464
05-13 10:56:52.455 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.458 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.460 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.462 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.464 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.465 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.466 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.468 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.470 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.471 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.472 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.474 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.476 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.477 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.479 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.480 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.482 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.489 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.491 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.492 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.494 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.495 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.497 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.498 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.499 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.501 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.502 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.503 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.504 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.505 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.506 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.621 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan enter anchorTs=1777001464 (DIR=1 walk-backward)
05-13 10:56:52.724 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=73 e2 ea 69 listeners=1
05-13 10:56:52.724 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=13 e2 ea 69 listeners=1
05-13 10:56:52.724 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=fb d5 ea 69 listeners=1
05-13 10:56:52.737 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=3f d1 ea 69 listeners=1
05-13 10:56:52.740 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=70 d0 ea 69 listeners=1
05-13 10:56:52.742 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=c8 cf ea 69 listeners=1
05-13 10:56:52.742 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=f9 ce ea 69 listeners=1
05-13 10:56:52.745 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=91 b9 ea 69 listeners=1
05-13 10:56:52.747 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=d9 b8 ea 69 listeners=1
05-13 10:56:52.748 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=3d b8 ea 69 listeners=1
05-13 10:56:52.772 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=16 49 ea 69 listeners=1
05-13 10:56:52.772 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=aa 6d b7 65 listeners=1
05-13 10:56:52.774 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ff ff ff ff listeners=1
05-13 10:56:52.774 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan returned 12 packet(s); first.ts=1777001075 last.ts=1706519978
05-13 10:56:52.776 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.778 I/ReactNativeJS( 5250): '[analytics]', 'reading_persisted', { source: 'watch', tier: 'in_pattern' }
05-13 10:56:52.990 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan enter anchorTs=1706519978 (DIR=1 walk-backward)
05-13 10:56:53.008 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:56:53.064 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x14 payload[0..3]=ff ff ff ff listeners=1
05-13 10:56:53.065 I/ReactNativeJS( 5250): [ble-trace] backfillBPHistoryOlderThan returned 0 packet(s); first.ts=n/a last.ts=n/a
05-13 10:56:53.065 I/ReactNativeJS( 5250): '[analytics]', 'sync_completed', { trigger: 'manual_force',
05-13 10:56:53.065 I/ReactNativeJS( 5250):   batches: 4,
05-13 10:56:53.065 I/ReactNativeJS( 5250):   hitBatchCap: false,
05-13 10:56:53.065 I/ReactNativeJS( 5250):   pulled: 62 }
05-13 10:56:53.066 I/ReactNativeJS( 5250): [ble-trace] applyDeviceConfig skipped — dirty=false force=false sinceFlushMs=167643 (debounce 3600000ms)
05-13 10:56:53.067 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.hr enter cursor.hr=1778669400 days=[2026-05-13]
05-13 10:56:53.067 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.spo2 enter cursor.spo2=2026-05-13 days=[2026-05-13]
05-13 10:56:53.068 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.dayInfo enter cursor.sleep=2026-05-13 cursor.activity=2026-05-13 allDays=[2026-05-13]
05-13 10:56:53.160 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:56:53.170 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=00 18 05 00 listeners=3
05-13 10:56:53.171 I/ReactNativeJS( 5250): [ble-trace] readHRHistory index totalPackets=24 intervalMinutes=5 (returned to caller)
05-13 10:56:53.171 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=01 00 bf 03 listeners=3
05-13 10:56:53.172 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=02 4f 51 65 listeners=3
05-13 10:56:53.172 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=03 4a 4d 48 listeners=3
05-13 10:56:53.173 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=04 53 4a 4c listeners=3
05-13 10:56:53.176 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=05 43 46 47 listeners=3
05-13 10:56:53.179 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=06 3f 37 3f listeners=3
05-13 10:56:53.182 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=07 44 43 49 listeners=3
05-13 10:56:53.182 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=08 40 48 59 listeners=3
05-13 10:56:53.183 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=09 3c 3e 4b listeners=3
05-13 10:56:53.217 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0a 00 00 00 listeners=3
05-13 10:56:53.218 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0b 52 4d 4d listeners=3
05-13 10:56:53.219 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0c 00 00 00 listeners=3
05-13 10:56:53.219 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0d 00 00 00 listeners=3
05-13 10:56:53.220 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0e 00 00 00 listeners=3
05-13 10:56:53.220 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=0f 00 00 00 listeners=3
05-13 10:56:53.221 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=10 00 00 00 listeners=3
05-13 10:56:53.222 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=11 00 00 00 listeners=3
05-13 10:56:53.222 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=12 00 00 00 listeners=3
05-13 10:56:53.223 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=13 00 00 00 listeners=3
05-13 10:56:53.263 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=14 00 00 00 listeners=3
05-13 10:56:53.265 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=15 00 00 00 listeners=3
05-13 10:56:53.266 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=16 00 00 00 listeners=3
05-13 10:56:53.269 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x15 payload[0..3]=17 00 00 00 listeners=3
05-13 10:56:53.269 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.hr day=2026-05-13 readHRHistory returned 123 samples (intervalSec=300, sampleWindowSec=300)
05-13 10:56:53.329 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'hr', count: 1 }
05-13 10:56:53.330 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.hr exit totalPulled=1 newestRaw=1778669700
05-13 10:56:53.444 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x2d payload[0..3]=00 04 3c 00 listeners=2
05-13 10:56:53.444 I/ReactNativeJS( 5250): [ble-trace] readSpO2History index totalPackets=4 intervalMinutes=60 (assumed 60 in slice config)
05-13 10:56:53.444 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x2d payload[0..3]=01 00 bf 03 listeners=2
05-13 10:56:53.444 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x2d payload[0..3]=02 61 62 00 listeners=2
05-13 10:56:53.444 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x2d payload[0..3]=03 00 00 00 listeners=2
05-13 10:56:53.445 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.spo2 day=2026-05-13 readSpO2History returned 5 samples
05-13 10:56:53.446 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'spo2', count: 1 }
05-13 10:56:53.461 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'spo2', count: 1 }
05-13 10:56:53.478 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'spo2', count: 1 }
05-13 10:56:53.480 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'spo2', count: 1 }
05-13 10:56:53.481 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'spo2', count: 1 }
05-13 10:56:53.485 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.spo2 exit totalPulled=5
05-13 10:56:53.485 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x07 payload[0..3]=00 00 26 05 listeners=1
05-13 10:56:53.486 I/ReactNativeJS( 5250): [ble-trace] readDayInfo packet idx=0x00 daysAgo=0 payload=00 00 26 05 13 00 01 21 3b 18 00 00 00 ab
05-13 10:56:53.486 I/ReactNativeJS( 5250): [ble-trace] notify cmd=0x07 payload[0..3]=01 00 26 05 listeners=1
05-13 10:56:53.486 I/ReactNativeJS( 5250): [ble-trace] readDayInfo packet idx=0x01 daysAgo=0 payload=01 00 26 05 13 02 57 00 76 01 ab 00 0b 00
05-13 10:56:53.486 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.dayInfo day=2026-05-13 daysAgo=0 activity=steps=289 sleep=min=599
05-13 10:56:53.487 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'activity', count: 1 }
05-13 10:56:53.488 I/ReactNativeJS( 5250): '[analytics]', 'vital_persisted', { vital_type: 'calories', count: 1 }
05-13 10:56:53.488 I/ReactNativeJS( 5250): [ble-trace] syncMultiVitals.dayInfo exit sleepCount=0 activityCount=1
05-13 10:56:53.580 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:56:53.853 I/ReactNativeJS( 5250): '[analytics]', 'multi_vitals_sync_failed', { reason: '/sync invoke failed: Edge Function returned a non-2xx status code',
05-13 10:56:53.853 I/ReactNativeJS( 5250):   hr_pending: 3089,
05-13 10:56:53.853 I/ReactNativeJS( 5250):   spo2_pending: 123,
05-13 10:56:53.853 I/ReactNativeJS( 5250):   sleep_pending: 7,
05-13 10:56:53.853 I/ReactNativeJS( 5250):   steps_pending: 11,
05-13 10:56:53.853 I/ReactNativeJS( 5250):   calories_pending: 11 }
05-13 10:56:53.855 I/ReactNativeJS( 5250): '[analytics]', 'sync_failed', { trigger: 'manual_force', reason: 'multi_vitals:sync' }
05-13 10:56:53.968 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:56:54.113 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:56:54.262 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
05-13 10:56:54.412 I/ReactNativeJS( 5250): '[analytics]', 'reading_sync_success', { duplicate: true }
